variant,attack_macro_recall,attack_micro_recall,benign_fpr,detection_f1,zero_day_macro_recall,autoencoder_alone_attack_macro_recall,final_val_loss,rounds_to_convergence,total_communication_bytes
full_pipeline,0.8868157888410283,0.8876404494382022,0.02603273577552611,0.9093074022623536,0.7307719209347644,0.420869882070917,0.021207652236693967,3.0,11678400
plain_fedavg,0.8790964810145999,0.8833785354513755,0.030865159781761495,0.901363905910259,0.5946294088092446,0.0,919931709815583.9,,11678400
trimmed_mean_only,0.8784585375785442,0.88221619527315,0.03304754481683554,0.898224852071006,0.5393814771395077,0.0,4830.062392436854,,11678400
autoencoder_only,0.19115078189407228,0.1336691204959318,0.03476227591582229,0.219117180057161,0.324973719116947,0.19115078189407228,0.029475755516130655,9.0,11678400
boosting_only,0.8750416225308678,0.8798915149166989,0.0,0.9361088211046992,0.5177645285546809,,,,0
